objid              , ra              , dec                 , u       , g       , r       , i       , z       , class, redshift     , _q   , W1mag , W2mag , W3mag , W4mag, W1_W2        , u_g
1237646587175501937, 85.976554965204 , 0.324710565835686   , 21.62993, 19.46402, 19.25359, 18.7891 , 18.50595, STAR , -6.736813e-05, 198.0, 15.035, 14.679, 12.335, 8.814, 0.35599995   , 2.1659100000000002
1237646587175502146, 86.0346740587979, 0.225313090886634   , 22.866  , 20.80573, 20.04665, 19.73836, 19.64694, STAR , -0.0008104233, 199.0, 13.402, 13.284, 11.632, 8.808, 0.11800003   , 2.060269999999999
1237646587175502530, 85.9871734778784, 0.262216841755318   , 21.27354, 18.49694, 17.1806 , 16.64989, 16.30606, STAR , 0.000156371  , 200.0, 15.289, 15.554, 12.061, 8.638, -0.26500034  , 2.776600000000002
1237646587175502640, 86.0245367285875, 0.217832067799146   , 20.59034, 18.15186, 16.72008, 15.29809, 14.50266, STAR , 7.181928e-05 ,   1.0, 15.329, 15.202, 12.197, 8.684, 0.12700081   , 2.438480000000002
1237646587175502707, 86.0413875229273, 0.410198317145318   , 20.55337, 19.17571, 18.49914, 18.18913, 18.03559, STAR , -7.44258e-06 ,   2.0, 16.003, 16.122, 12.104, 8.904, -0.11899948  , 1.3776600000000023
1237646587175502936, 85.9295822765528, 0.354637376515085   , 24.46185, 21.73515, 19.98692, 18.89967, 18.27001, STAR , 7.70605e-05  ,   5.0, 14.246, 14.203, 11.866, 8.746, 0.04300022   , 2.7266999999999975
1237646587175503182, 85.9392277322484, 0.375408327885918   , 24.50061, 22.33742, 20.86004, 19.23489, 18.29092, STAR , 9.566391e-05 ,   6.0, 15.749, 15.954, 11.976, 8.893, -0.20500088  , 2.16319
1237646587175503295, 85.9710934258713, 0.359303636928238   , 23.96774, 22.22265, 20.54683, 19.26854, 18.50834, STAR , 3.376895e-05 ,   7.0, 15.365, 15.379, 12.319, 8.806, -0.013999939 , 1.7450899999999976
1237646587175503303, 85.9729109313211, 0.404957303849132   , 23.81194, 22.02348, 20.27763, 19.00416, 18.30201, STAR , 3.619798e-05 ,   8.0, 15.695, 15.596, 12.19 , 8.927, 0.09899998   , 1.7884600000000006
1237646587175503512, 86.0440398626038, 0.363033280294714   , 23.66386, 21.44235, 19.96777, 19.26194, 18.78011, STAR , 0.000146451  ,   9.0, 16.656, 16.536, 12.383, 8.844, 0.12000084   , 2.2215099999999985
1237646587175567393, 86.0681093659   , 0.322716141940627   , 20.25157, 18.8002 , 17.99653, 17.66563, 17.46643, QSO  , 6.831409     ,  10.0, 15.875, 15.724, 12.375, 9.021, 0.15100002   , 1.4513700000000007
1237646587175568433, 86.1714872357283, 0.241846350973195   , 23.81397, 21.08947, 19.23348, 18.23505, 17.64925, STAR , -3.783982e-06,  16.0, 14.629, 14.774, 12.5  , 8.814, -0.14500046  , 2.7245000000000026
1237646587175568438, 86.1743208821266, 0.288169867315539   , 22.55863, 20.48786, 19.55894, 19.10798, 18.84195, STAR , 0.0001504203 ,  17.0, 14.231, 14.191, 11.803, 8.384, 0.03999996   , 2.0707699999999996
1237646587175568458, 86.1872858695776, 0.269014315295695   , 23.68547, 20.71624, 19.18186, 17.85264, 17.13495, STAR , 0.0001866189 ,  18.0, 15.612, 15.245, 12.208, 9.124, 0.36700058   , 2.9692299999999996
1237646587175568510, 86.144107126507 , 0.320828012953607   , 23.93047, 21.87216, 20.08407, 18.65433, 17.85166, STAR , 7.003697e-05 ,  20.0, 14.614, 13.413, 10.026, 7.434, 1.2010002    , 2.0583099999999988
1237646587175568772, 86.1134188652382, 0.304452711248444   , 24.16073, 22.02225, 20.34216, 19.11967, 18.40646, STAR , 0.0001448857 ,  21.0, 15.954, 16.133, 10.819, 7.901, -0.17899895  , 2.1384800000000013
1237646587175633406, 86.2615349660418, 0.256023288327405   , 22.74366, 19.92232, 18.43532, 17.23545, 16.57985, STAR , -4.498422e-05,  22.0, 13.982, 14.046, 12.346, 9.067, -0.063999176 , 2.8213399999999993
1237646587175633465, 86.2883913850667, 0.234009806949564   , 19.8797 , 18.34594, 17.53673, 17.15669, 16.91611, STAR , 0.0001465431 ,  23.0, 15.564, 15.73 , 12.319, 8.652, -0.16599941  , 1.533760000000001
1237646587175633733, 86.3132424305704, 0.39305366595468    , 24.63164, 22.11296, 20.0122 , 18.64193, 17.82671, STAR , -2.576195e-05,  24.0, 13.2  , 13.116, 11.42 , 8.366, 0.083999634  , 2.51868
1237646587175633808, 86.2179258240874, 0.321992385457541   , 21.84163, 20.3924 , 19.63535, 19.22149, 19.09953, STAR , 0.0001271344 ,  25.0, 14.489, 14.335, 10.625, 7.752, 0.15400028   , 1.44923
1237646587175633938, 86.2463700723451, 0.400251792285194   , 24.35106, 22.11944, 20.3037 , 19.10398, 18.4269 , STAR , 0.0001925361 ,  28.0, 15.277, 15.408, 11.436, 8.028, -0.13099957  , 2.2316199999999995
1237646587175634148, 86.3192853646283, 0.333364699553525   , 24.67649, 22.8217 , 20.67992, 19.31088, 18.4619 , STAR , 0.0002169163 ,  29.0, 15.391, 15.198, 11.873, 8.878, 0.19299984   , 1.8547900000000013
1237646587175634187, 86.3331197842975, 0.260676846113225   , 23.61534, 22.89736, 20.80227, 18.81334, 17.69087, STAR , 9.980165e-05 ,  30.0, 13.319, 13.177, 10.804, 7.864, 0.1420002    , 0.7179800000000007
1237646587175698538, 86.3612696024083, 0.266590526101008   , 21.79842, 19.35334, 18.01153, 16.84269, 16.19164, STAR , 0.0001644518 ,  32.0, 11.551, 11.564, 11.291, 9.064, -0.013000488 , 2.445080000000001
1237646587175698713, 86.475438409915 , 0.218956229011859   , 23.57304, 20.20344, 18.40826, 17.55132, 16.90395, STAR , 0.0002081076 ,  33.0, 14.766, 14.832, 11.359, 8.012, -0.065999985 , 3.3695999999999984
1237646587175698715, 86.4807399259677, 0.406431085343764   , 21.58409, 18.81102, 17.39306, 16.22347, 15.59782, STAR , 0.0003740179 ,  35.0, 15.55 , 15.59 , 11.869, 8.947, -0.03999996  , 2.7730700000000006
1237646587175698890, 86.3816016366479, 0.38477238203087    , 25.02658, 22.12057, 19.92333, 18.67892, 17.86789, STAR , -8.294307e-05,  36.0, 15.59 , 15.909, 11.614, 8.78 , -0.31900024  , 2.9060099999999984
1237646587175699107, 86.4253260156293, 0.365390286164549   , 25.04223, 22.28828, 20.44892, 19.41447, 18.67152, QSO  , 4.047996     ,  37.0, 15.305, 15.262, 11.418, 7.986, 0.04300022   , 2.7539499999999997
1237646587175699191, 86.4710393166682, 0.367492879907154   , 25.33603, 22.46432, 20.3565 , 19.12495, 18.36011, STAR , -0.004020306 ,  38.0, 14.868, 14.935, 11.219, 7.157, -0.06700039  , 2.87171
1237646587175699229, 86.5027442118711, 0.301624549381999   , 24.19699, 22.26999, 20.3874 , 19.40802, 18.70756, STAR , 8.29499e-05  ,  39.0, 14.381, 14.346, 11.028, 6.123, 0.034999847  , 1.9269999999999996
1237646587175699432, 86.4766414518672, 0.309936199267892   , 21.80662, 21.30276, 19.80096, 18.65604, 17.69506, QSO  , 6.984716     ,  40.0, 13.692, 13.521, 11.75 , 8.426, 0.17100048   , 0.5038599999999995
1237646587175764049, 86.6130610415128, 0.263784887356786   , 21.73027, 19.35065, 17.84483, 16.2394 , 15.38888, STAR , 3.64594e-05  ,  41.0, 12.52 , 12.534, 12.212, 8.936, -0.013999939 , 2.379619999999999
1237646587175764070, 86.5692842932709, 0.340547033984223   , 22.68819, 20.93809, 19.45111, 18.00076, 17.23729, STAR , 0.0002901043 ,  42.0, 14.639, 14.568, 11.087, 7.394, 0.0710001    , 1.7500999999999998
