objid,ra,dec,u,g,r,i,z,class,redshift
1237646586639155304,87.137405001945,-0.181444525281672,22.65874,20.16944,18.75131,18.00167,17.47083,STAR,-1.277081e-05
1237646586639155469,87.2372296508067,-0.174312820071309,21.28893,19.38084,18.16415,17.52472,17.06797,STAR,-7.743558e-05
1237646586639155557,87.1362846660445,-0.108250642608148,23.32517,20.9401,19.28661,18.41056,17.76709,QSO,1.065652
1237646586639155584,87.1600204320238,-0.0824467506853826,22.84014,20.59928,19.16969,17.7055,16.92395,STAR,-3.464875e-05
1237646586639155669,87.1313554413393,-0.033568178180515,24.50498,22.7456,20.33169,17.94419,16.48332,STAR,0.0002266251
1237646586639155674,87.155106601226,-0.0953136243530412,24.03287,21.57227,19.54418,18.43551,17.60709,STAR,3.809562e-05
1237646586639155690,87.2027856200247,-0.151293243577473,23.21901,21.51022,19.42217,18.2417,17.46079,STAR,9.187158e-05
1237646586639156174,87.1730677658102,0.00195977639299582,25.43647,23.54894,20.47778,18.88266,17.84809,STAR,0.0002056973
1237646586639221106,87.3166019228208,0.0077178236315999,22.08626,19.60646,18.21362,17.52139,17.03502,STAR,0.0002088169
1237646586639221275,87.3831941146954,1.38884705483208e-05,22.3106,20.04281,18.69215,17.99268,17.51549,STAR,-2.802602e-06
1237646586639221362,87.2639371808749,-0.0361987681757414,23.59253,21.10044,18.88088,17.59967,16.7597,STAR,0.0004211337
1237646586639221530,87.3945965224597,-0.114934184836074,23.51605,21.99541,20.04639,18.671,17.84912,STAR,9.640361e-05
1237646586639221584,87.2621385607544,0.00253894231135108,23.41705,21.88585,20.10322,19.29413,18.69633,STAR,0.0001274117
1237646586639221587,87.2631987016869,-0.08972348871415,22.63876,20.69983,19.4616,18.84008,18.39879,STAR,0.0001774348
1237646586639221642,87.2831151793464,-0.179385830468448,23.9317,22.16491,20.10962,19.04317,18.25268,STAR,0.0002944032
1237646586639221650,87.289663358414,-0.00803377470311168,24.29688,21.52224,20.08373,19.38585,18.86038,STAR,0.0002215278
1237646586639221715,87.3150377910328,-0.081972936648568,22.76552,21.06367,19.82376,19.23994,18.81525,STAR,-0.001764719
1237646586639221876,87.3779151184568,-0.137373886321132,23.9838,21.52683,20.25836,19.66525,19.22689,STAR,0.0001794873
1237646586639221927,87.3943506934874,-0.160297227706723,23.10638,21.90672,20.88894,20.16862,19.96806,STAR,0.0001268952
1237646586639287007,87.5459633549282,-0.178995924100117,23.73763,21.04921,18.91784,17.69603,16.92916,STAR,8.819986e-05
1237646586639287071,87.4953669449642,-0.0182562063015962,23.4929,21.94546,19.85114,18.72146,17.97706,STAR,0.0002182131
1237646586639287302,87.4620612179124,-0.200310803323172,24.02488,22.99796,21.13192,19.42762,18.47663,STAR,0.0001628229
1237646586639287538,87.5569700576139,-0.15307736733389,25.33688,22.64699,20.52455,19.15336,18.26247,STAR,0.0001347829
1237646586639351910,87.6166053449297,-0.10249671329872,20.86439,18.72519,17.48716,16.85108,16.41669,STAR,0.0001799992
1237646586639352168,87.5983075843329,-0.0891419762460273,22.38653,20.34014,19.13734,18.51273,18.04034,STAR,0.0003380527
1237646586639352185,87.6125756322928,-0.177036817436753,19.86173,18.1092,17.17136,16.68614,16.34399,STAR,-3.677916e-05
1237646586639352222,87.6313873616803,-0.123772276905176,21.76347,19.09456,17.61511,16.38022,15.70146,STAR,-0.0001203144
1237646586639352243,87.6394730425391,-0.135880686377858,21.22957,19.42358,18.42903,17.8815,17.49778,STAR,0.000332737
1237646586639352359,87.6880574654652,-0.0487081790429814,21.85829,19.52144,18.27886,17.66191,17.08464,STAR,0.0002872027
1237646586639352410,87.7068783207755,-0.0205511517363222,22.86926,19.92516,18.39223,17.66568,17.12105,STAR,4.680918e-05
1237646586639352511,87.6036100381763,-0.140638034215574,22.78676,20.18419,18.65356,17.89418,17.36704,STAR,7.553405e-05
1237646586639352550,87.6583006574399,-0.00427904881954793,22.92263,20.71928,19.25591,18.53852,17.9666,STAR,8.326237e-05
1237646586639352588,87.6856412345181,-0.127420922055911,23.48424,20.58817,19.09956,17.64363,16.8554,STAR,2.08079e-05
1237646586639352699,87.5793775853232,-0.202703373594117,23.3409,22.07542,19.98784,18.97803,18.27745,STAR,0.0001338551
1237646586639352751,87.5914520154975,-0.0235044872752747,25.02727,22.93978,20.71053,19.41964,18.60135,STAR,0.0001816722
1237646586639352797,87.6049381498892,-0.0332701939726844,23.58657,21.09651,19.72216,19.05974,18.58348,STAR,0.0001482739
1237646586639352828,87.6159503200456,-0.130804350301827,24.70381,22.06441,20.12183,19.10864,18.37437,STAR,0.0003329155
1237646586639352919,87.6453549210852,-0.0722919728415193,23.68982,21.03245,19.68708,18.99984,18.50149,STAR,0.0002782552
1237646586639352944,87.6502901446461,-0.140303639704086,24.9549,22.65468,20.6175,19.39448,18.5253,STAR,0.0002590134
1237646586639352968,87.6576572425608,-0.176561750881685,25.0292,22.57769,20.41514,19.28533,18.54424,STAR,0.0001193918
1237646586639352979,87.6617538237434,-0.0617368078152851,23.6847,21.54847,20.17876,19.51346,19.10299,STAR,7.637781e-05
1237646586639353069,87.6977954671885,-0.172032892893437,24.58426,22.53302,20.51776,19.35871,18.65073,STAR,0.0002561665
1237646586639417687,87.7290029776519,-0.0414265719072196,21.29729,19.28448,18.1593,17.60839,17.20003,STAR,0.0001067221
1237646586639417784,87.7567457503326,-0.168836472833752,21.1401,19.28548,18.32601,17.81326,17.48348,STAR,-2.137471e-05
1237646586639417815,87.7638099095353,-0.0804198172113122,21.19353,18.96375,17.72413,17.10104,16.63457,STAR,8.0728e-05
1237646586639417817,87.7672389077989,-0.0393132969067512,22.31771,19.66612,18.30877,17.68612,17.2114,STAR,0.0002150202
