objid,ra,dec,u,g,r,i,z,class,redshift,W1mag,W2mag,W1_W2,u_g,parallax,pmra,pmde
1237651252584776008,237.551592818017,54.2911941373149,20.29546,19.93005,19.73344,19.81232,19.73197,QSO,0.8786635,15.632,14.642,0.9900000000000002,0.3654099999999971,-0.0881,-0.55,0.389
1237651191891230730,122.692604063493,45.6734864995342,19.1657,18.11147,17.91498,17.87116,17.86895,STAR,-0.000189251,17.314,16.691,0.6230000000000011,1.0542300000000004,0.0405,1.553,-2.56
1237648703519981732,221.484878403394,-0.717896429891948,18.48094,17.4971,17.23294,17.11411,17.08033,STAR,0.0002163344,15.915,15.646,0.26899999999999835,0.9838400000000007,0.3405,-10.343,-4.521
1237651273498951804,130.336568980651,55.083773459298,16.72276,15.56392,15.18157,15.06953,15.01397,STAR,-7.284329e-05,13.838,13.883,-0.04499999999999993,1.1588400000000014,0.53,1.206,-1.953
1237648705132363903,225.470669346399,0.453889628029823,18.48222,17.49325,17.08255,16.89532,16.82697,STAR,0.0002415024,15.425,15.637,-0.21199999999999974,0.9889700000000019,0.305,2.666,-27.231
1237649919501205648,11.7214157052183,14.4869719456631,20.28907,19.9783,19.76378,19.53983,19.12388,QSO,2.141451,16.449,15.639,0.8100000000000023,0.310769999999998,0.3607,0.147,0.242
1237648722827673731,148.778096919819,1.11675348832449,20.49205,18.77278,18.09857,17.84011,17.71559,STAR,0.0001013369,15.386,15.642,-0.2560000000000002,1.719269999999998,0.2262,-1.532,2.52
1237649918969381140,23.5522545679136,13.4990956359869,20.65029,20.32134,20.09373,20.01682,20.16334,QSO,3.114437,16.44,15.153,1.2870000000000008,0.32894999999999897,0.6205,1.342,0.305
1237651066814267396,173.70191095797,64.8871041857228,18.88481,17.60499,17.07184,16.86107,16.74508,STAR,-0.0006960055,15.38,15.268,0.1120000000000001,1.2798200000000008,-0.0014,-0.25,-4.075
1237651701378252818,130.805893049957,53.9552419695444,17.32412,17.1763,16.94265,16.4484,16.78119,QSO,0.2175676,12.864,11.889,0.9750000000000014,0.1478199999999994,-0.0411,-0.119,-0.154
1237651273498296425,128.532315711854,53.8670553193236,20.2548,19.95289,19.8222,19.53358,19.56549,QSO,1.566367,16.071,14.871,1.200000000000001,0.30190999999999946,-0.9758,-0.568,0.908
1237651252048101736,237.306200192324,53.6819066037827,20.37897,20.27636,20.20163,19.96823,19.90544,QSO,1.730043,16.567,15.509,1.0579999999999998,0.10260999999999854,0.252,-0.678,-0.977
1237651252553581040,117.64120801251,41.5602114064178,21.76292,20.67136,20.07273,19.67877,19.63283,QSO,1.54987,15.722,14.23,1.491999999999999,1.0915600000000012,-0.1562,-0.647,0.307
1237648720150528133,165.281803038421,-0.98947019296294,19.00821,18.81989,18.76197,18.49328,18.55766,QSO,1.735306,15.515,14.066,1.4489999999999998,0.18831999999999738,0.0048,-0.056,-0.212
1237651066813218982,168.457904461478,64.4409447625359,19.56596,17.08389,15.96498,15.54583,15.31009,STAR,-6.076316e-05,13.409,13.437,-0.027999999999998693,2.48207,1.8111,1.159,-7.951
1237651250407866683,122.593576436936,44.000753229946,20.30113,19.9323,19.97679,19.70025,19.68224,QSO,0.6306898,14.945,14.151,0.7940000000000005,0.3688299999999991,0.0798,0.495,-0.32
1237651252587332300,243.809045257537,49.9982644414788,23.1549,21.09406,20.2903,19.93306,19.80305,STAR,-2.650336e-06,17.837,18.042,-0.20500000000000185,2.0608400000000024,-0.1819,0.875,-3.08
1237651066813087851,167.609137377903,64.3025314154787,20.86128,19.88527,19.32856,19.14791,19.05354,QSO,1.130833,15.016,13.682,1.3339999999999996,0.9760100000000023,0.0688,-0.27,-0.178
1237651212822774079,256.834143166005,61.5070965329678,19.70703,19.28199,19.3471,18.80219,18.51166,QSO,1.742931,14.285,12.649,1.636000000000001,0.4250399999999992,-0.3157,-0.085,0.205
1237651066278838313,181.55060768398,64.8980092041063,19.44388,19.33106,19.11928,18.89673,18.71787,QSO,1.965607,15.157,13.759,1.3979999999999997,0.11281999999999925,-0.067,-0.133,0.127
1237651252062126692,262.069108591574,27.3098953225266,20.00563,18.94987,18.72474,18.64501,18.65581,STAR,-0.0001838531,17.801,16.933,0.8679999999999986,1.0557599999999994,0.2594,-2.846,2.029
1237651203695116507,199.83100213356,-0.161992454142705,19.26961,17.84277,17.20281,16.99522,16.89806,STAR,-0.0004426365,15.49,16.051,-0.5609999999999982,1.4268399999999986,0.1726,0.237,-5.539
