objid              , ra              , dec                 , u       , g       , r       , i       , z       , class, redshift     , W1mag , W2mag , parallax, pmra   , pmde   , u_g                 , W1_W2
1237646587712570701, 86.49741341033  , 0.822579331329642   , 24.47438, 22.57607, 20.70496, 19.16781, 18.28116, STAR , 0.0002597001 , 15.277, 15.408, 1.3288  , -0.128 , 17.412 , 1.8983099999999986  , -0.13099957
1237646587712570712, 86.5052607396456, 0.68278943029248    , 25.08021, 22.48575, 21.05349, 19.04885, 17.9614 , STAR , 0.0001621131 , 15.391, 15.198, 2.5884  , -2.484 , 0.998  , 2.5944600000000015  , 0.19299984
1237646587712635125, 86.5349356902807, 0.678451817053733   , 21.84898, 19.37171, 17.8799 , 16.52476, 15.81084, STAR , 0.0002259903 , 13.319, 13.177, 4.618   , 9.934  , -23.968, 2.4772700000000007  , 0.1420002
1237646587712635166, 86.5479247351903, 0.820134529128154   , 21.16796, 18.22911, 16.33367, 15.32192, 14.60133, STAR , 0.0001996461 , 11.551, 11.564, 0.2743  , 0.139  , -0.195 , 2.938850000000002   , -0.013000488
1237646587712635322, 86.5502420544926, 0.835117831645192   , 23.05438, 20.71357, 19.0158 , 18.10363, 17.48697, STAR , 8.71365e-05  , 14.766, 14.832, 0.6176  , -3.025 , -2.68  , 2.3408099999999976  , -0.065999985
1237646587712635375, 86.6281786836174, 0.706961114930171   , 24.3627 , 21.15645, 19.52107, 18.73257, 18.12019, STAR , -1.487425e-05, 15.55 , 15.59 , 0.9042  , 1.901  , -0.408 , 3.2062500000000007  , -0.03999996
1237646587712635379, 86.6308184314916, 0.73015002571472    , 23.06726, 20.70215, 19.28539, 18.57955, 18.09958, STAR , 0.0002597619 , 15.59 , 15.909, 0.5589  , 0.5    , -1.626 , 2.3651100000000014  , -0.31900024
1237646587712635557, 86.5444712845994, 0.667561260604411   , 23.16538, 21.87572, 19.87164, 18.93006, 18.18321, STAR , 0.0003383172 , 15.305, 15.262, 0.1447  , 4.524  , 2.222  , 1.2896599999999978  , 0.04300022
1237646587712635749, 86.6591867621842, 0.811499121737573   , 24.16302, 22.24815, 20.17873, 19.02914, 18.21696, STAR , 9.294673e-05 , 14.868, 14.935, 0.2081  , 3.857  , -1.759 , 1.9148700000000005  , -0.06700039
1237646587712700633, 86.6775254628363, 0.787513468372793   , 21.38321, 19.0856 , 17.78396, 17.13557, 16.70701, STAR , 8.661341e-05 , 14.381, 14.346, 0.7703  , -3.136 , -5.409 , 2.297609999999999   , 0.034999847
